,caseid,tname,tid
43,1,SNUADC/PLETH,9acbed98f1f15c7827ee3bcc55eaef19f861b824
44,1,Solar8000/ART_DBP,22f7c87e40887e437db5e0f6bde5e3df254d79f5
45,1,Solar8000/ART_MBP,5e68ffda69677a28dca49f361e088903239fd1cf
46,1,Solar8000/ART_SBP,69128c2f14c14d5a74170946ea88e8d5d8ef0bfa
200,3,SNUADC/PLETH,808aa20f903b14683f5b5fb7ea5a45e53e2117be
201,3,Solar8000/ART_DBP,d453db4389a1cb89ac539b48139ac6b7c4bb11e2
202,3,Solar8000/ART_MBP,ee8c1ca0a249033e51930ced23811a6eb03123b2
203,3,Solar8000/ART_SBP,f1f79930c82269386890e787b479839575c53960
280,4,SNUADC/PLETH,e8d08e829a45456e8890f47d0995f1b3064529b4
281,4,Solar8000/ART_DBP,1f3da9ef8ae3c686fac08db70f31828d71c808e7
282,4,Solar8000/ART_MBP,4d07a93148cf8a3ee8b4da5d5f718a1adb4d3264
283,4,Solar8000/ART_SBP,ed57d4035fc6598fd9f70eea83d6b284329dbf78
522,7,SNUADC/PLETH,9f042039ebdd72b489b1bdcc03b3affe29bc3eb6
523,7,Solar8000/ART_DBP,581fd89a8213a7ce24c7c0a4bf22d8d7a5bf41a2
524,7,Solar8000/ART_MBP,30a4c59beb2c29881c969ff720e489aba3465c30
525,7,Solar8000/ART_SBP,247d1ab066bf1aabed1532847a3da349c08f201a
755,10,SNUADC/PLETH,332e6ac3f127d341b89950fcb886b6d045fcd1ee
756,10,Solar8000/ART_DBP,69ad12b500970f00309a77850a17e829739b0dc3
757,10,Solar8000/ART_MBP,ec78a157a94fb779e0f1e4455e5bad3035b89e4c
758,10,Solar8000/ART_SBP,1a1af1c2e2c9ca17d300781ff319d6a54ef1ac4e
989,13,SNUADC/PLETH,adbc415bca2704ac6fce305a11002c18f1c3074a
990,13,Solar8000/ART_DBP,b62b5c9ce3b23bffcf74fd20abfdd8067921329f
991,13,Solar8000/ART_MBP,1f13c262719341c545ec38de4098a5b0b9e51144
992,13,Solar8000/ART_SBP,df7cb604b317a9ccc889100cb46672da170b4e48
1062,14,SNUADC/PLETH,7991449301d7ce27bdaf412f09e9c955dc355ea3
1063,14,Solar8000/ART_DBP,f25533b3e89bd8d5ab972e3b15cc787010d99609
1064,14,Solar8000/ART_MBP,da2df0190d8568b31b66108bff29f1b5a7e6823d
1065,14,Solar8000/ART_SBP,67b42cf003c87aa0528560c4ab287e51d422e0f2
1183,16,SNUADC/PLETH,fb440dcde0a84b1d7d4a701a8cf3aaa26e0d9137
1184,16,Solar8000/ART_DBP,802bf0b051dbd0dc5ba16741d781a524c864256a
1185,16,Solar8000/ART_MBP,0254d97febeb440b551252ac4c5d2ef2740d4172
1186,16,Solar8000/ART_SBP,bb4f74e2820fa0e1700e1124cf8880a309a08e6f
1278,17,SNUADC/PLETH,78649246c8df0a350777ba4ffabe3d138b6768a7
1279,17,Solar8000/ART_DBP,1472ffc8387797c139ac765921c102855f0730e3
1280,17,Solar8000/ART_MBP,d57ce23b00046682cdc6425c96a8d22ce4be0f3d
